"year","name","DEM_VOTES_2016","REP_VOTES_2016","TOTAL_VOTES_2016","DEM_PRCT_2016","REP_PRCT_2016","LEAN_2016","DEM_VOTES_2020","REP_VOTES_2020","TOTAL_VOTES_2020","DEM_PRCT_2020","REP_PRCT_2020","LEAN_2020"
2008,"TX-01",68267,197121,265388,25.72,74.28,50.78,85263,227662,312925,27.25,72.75,50.04
2008,"TX-02",119344,162074,281418,42.41,57.59,17.4,156653,189430,346083,45.26,54.74,14.02
2008,"TX-03",148558,162754,311312,47.72,52.28,6.78,221308,191332,412640,53.63,46.37,-2.72
2008,"TX-04",89206,255485,344691,25.88,74.12,50.46,140279,322906,463185,30.29,69.71,43.96
2008,"TX-05",87072,165493,252565,34.48,65.52,33.26,118142,193860,312002,37.87,62.13,28.8
2008,"TX-06",116663,174670,291333,40.04,59.96,22.14,167239,204955,372194,44.93,55.07,14.68
2008,"TX-07",152141,147354,299495,50.8,49.2,0.620000000000005,205130,172397,377527,54.34,45.66,-4.13999999999999
2008,"TX-08",73292,262809,336101,21.81,78.19,58.6,107360,328809,436169,24.61,75.39,55.32
2008,"TX-09",143254,30502,173756,82.45,17.55,-62.68,167262,50669,217931,76.75,23.25,-48.96
2008,"TX-10",191168,207543,398711,47.95,52.05,6.32,289292,269887,559179,51.74,48.26,1.06000000000001
2008,"TX-11",49972,190287,240259,20.8,79.2,60.62,61513,231738,293251,20.98,79.02,62.58
2008,"TX-12",102983,191220,294203,35,65,32.22,153175,242954,396129,38.67,61.33,27.2
2008,"TX-13",38586,180559,219145,17.61,82.39,67,51398,206638,258036,19.92,80.08,64.7
2008,"TX-14",96689,209034,305723,31.63,68.37,38.96,134490,261008,395498,34.01,65.99,36.52
2008,"TX-15",116461,78345,194806,59.78,40.22,-17.34,127215,118216,245431,51.83,48.17,0.88000000000001
2008,"TX-16",140873,53332,194205,72.54,27.46,-42.86,170451,80302,250753,67.98,32.02,-31.42
2008,"TX-17",75442,190476,265918,28.37,71.63,45.48,106435,234716,341151,31.2,68.8,42.14
2008,"TX-18",159385,41154,200539,79.48,20.52,-56.74,193704,60781,254485,76.12,23.88,-47.7
2008,"TX-19",53689,169769,223458,24.03,75.97,54.16,71617,200758,272375,26.29,73.71,51.96
2008,"TX-20",126312,54936,181248,69.69,30.31,-37.16,163770,73157,236927,69.12,30.88,-33.7
