"year","name","DEM_VOTES_2016","REP_VOTES_2016","TOTAL_VOTES_2016","DEM_PRCT_2016","REP_PRCT_2016","LEAN_2016","DEM_VOTES_2020","REP_VOTES_2020","TOTAL_VOTES_2020","DEM_PRCT_2020","REP_PRCT_2020","LEAN_2020"
2008,"AL-01",103896,194251,298147,34.85,65.15,32.52,117680,212973,330653,35.59,64.41,33.36
2008,"AL-02",96889,181170,278059,34.84,65.16,32.54,109133,191935,301068,36.25,63.75,32.04
2008,"AL-03",111208,166720,277928,40.01,59.99,22.2,125089,185738,310827,40.24,59.76,24.06
2008,"AL-04",41342,233690,275032,15.03,84.97,72.16,46179,258022,304201,15.18,84.82,74.18
2008,"AL-05",104581,206542,311123,33.61,66.39,35,137734,235942,373676,36.86,63.14,30.82
2008,"AL-06",96349,262483,358832,26.85,73.15,48.52,130327,281884,412211,31.62,68.38,41.3
2008,"AL-07",175343,73773,249116,70.39,29.61,-38.56,183481,74676,258157,71.07,28.93,-37.6
2010,"AL-01",103896,194251,298147,34.85,65.15,32.52,117680,212973,330653,35.59,64.41,33.36
2010,"AL-02",96889,181170,278059,34.84,65.16,32.54,109133,191935,301068,36.25,63.75,32.04
2010,"AL-03",111208,166720,277928,40.01,59.99,22.2,125089,185738,310827,40.24,59.76,24.06
2010,"AL-04",41342,233690,275032,15.03,84.97,72.16,46179,258022,304201,15.18,84.82,74.18
2010,"AL-05",104581,206542,311123,33.61,66.39,35,137734,235942,373676,36.86,63.14,30.82
2010,"AL-06",96349,262483,358832,26.85,73.15,48.52,130327,281884,412211,31.62,68.38,41.3
2010,"AL-07",175343,73773,249116,70.39,29.61,-38.56,183481,74676,258157,71.07,28.93,-37.6
2012,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2012,"AL-02",96285,185824,282109,34.13,65.87,33.96,109614,196481,306095,35.81,64.19,32.92
2012,"AL-03",93312,188328,281640,33.13,66.87,35.96,108762,211614,320376,33.95,66.05,36.64
2012,"AL-04",50774,234353,285127,17.81,82.19,66.6,56781,260687,317468,17.89,82.11,68.76
2012,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2012,"AL-06",88532,234087,322619,27.44,72.56,47.34,119055,248483,367538,32.39,67.61,39.76
2012,"AL-07",200428,83131,283559,70.68,29.32,-39.14,208722,84487,293209,71.19,28.81,-37.84
2014,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2014,"AL-02",96272,185822,282094,34.13,65.87,33.96,109600,196479,306079,35.81,64.19,32.92
2014,"AL-03",93312,188328,281640,33.13,66.87,35.96,108762,211614,320376,33.95,66.05,36.64
2014,"AL-04",50774,234353,285127,17.81,82.19,66.6,56781,260687,317468,17.89,82.11,68.76
2014,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2014,"AL-06",88532,234087,322619,27.44,72.56,47.34,119055,248483,367538,32.39,67.61,39.76
2014,"AL-07",200441,83132,283573,70.68,29.32,-39.14,208736,84489,293225,71.19,28.81,-37.84
2016,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2016,"AL-02",96272,185822,282094,34.13,65.87,33.96,109600,196479,306079,35.81,64.19,32.92
2016,"AL-03",93312,188328,281640,33.13,66.87,35.96,108762,211614,320376,33.95,66.05,36.64
2016,"AL-04",50774,234353,285127,17.81,82.19,66.6,56781,260687,317468,17.89,82.11,68.76
2016,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2016,"AL-06",88532,234087,322619,27.44,72.56,47.34,119055,248483,367538,32.39,67.61,39.76
2016,"AL-07",200441,83132,283573,70.68,29.32,-39.14,208736,84489,293225,71.19,28.81,-37.84
2018,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2018,"AL-02",96264,185808,282072,34.13,65.87,33.96,109589,196467,306056,35.81,64.19,32.92
2018,"AL-03",93307,188299,281606,33.13,66.87,35.96,108753,211580,320333,33.95,66.05,36.64
2018,"AL-04",50774,234353,285127,17.81,82.19,66.6,56781,260687,317468,17.89,82.11,68.76
2018,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2018,"AL-06",88545,234131,322676,27.44,72.56,47.34,119076,248530,367606,32.39,67.61,39.76
2018,"AL-07",200441,83131,283572,70.68,29.32,-39.14,208735,84488,293223,71.19,28.81,-37.84
2020,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2020,"AL-02",96247,185771,282018,34.13,65.87,33.96,109570,196432,306002,35.81,64.19,32.92
2020,"AL-03",93324,188336,281660,33.13,66.87,35.96,108772,211615,320387,33.95,66.05,36.64
2020,"AL-04",50773,234345,285118,17.81,82.19,66.6,56781,260678,317459,17.89,82.11,68.76
2020,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2020,"AL-06",88524,234147,322671,27.43,72.57,47.36,119062,248548,367610,32.39,67.61,39.76
2020,"AL-07",200463,83123,283586,70.69,29.31,-39.16,208749,84479,293228,71.19,28.81,-37.84
2022,"AL-01",101869,189567,291436,34.95,65.05,32.32,115595,208153,323748,35.71,64.29,33.12
2022,"AL-02",96571,193921,290492,33.24,66.76,35.74,111145,205384,316529,35.11,64.89,34.32
2022,"AL-03",88863,187588,276451,32.14,67.86,37.94,102761,210774,313535,32.77,67.23,39
2022,"AL-04",53801,235524,289325,18.6,81.4,65.02,60776,262451,323227,18.8,81.2,66.94
2022,"AL-05",91741,189957,281698,32.57,67.43,37.08,123065,216646,339711,36.23,63.77,32.08
2022,"AL-06",91580,215075,306655,29.86,70.14,42.5,121821,228604,350425,34.76,65.24,35.02
2022,"AL-07",205182,106997,312179,65.73,34.27,-29.24,214461,109157,323618,66.27,33.73,-28
2008,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2010,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2012,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2014,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2016,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2018,"AK-01",116440,163379,279819,41.61,58.39,19,153760,189939,343699,44.74,55.26,15.06
2020,"AK-01",116440,163379,279819,41.61,58.39,19,153760,189939,343699,44.74,55.26,15.06
2022,"AK-01",116440,163379,279819,41.61,58.39,19,153760,189939,343699,44.74,55.26,15.06
2008,"AZ-01",128068,169131,297199,43.09,56.91,16.04,176302,223097,399399,44.14,55.86,16.26
2008,"AZ-02",151662,254864,406526,37.31,62.69,27.6,231651,347283,578934,40.01,59.99,24.52
2008,"AZ-03",136543,157381,293924,46.46,53.54,9.3,196121,198254,394375,49.73,50.27,5.08000000000001
2008,"AZ-04",119053,36267,155320,76.65,23.35,-51.08,167984,54438,222422,75.52,24.48,-46.5
2008,"AZ-05",149907,138992,288899,51.89,48.11,-1.56,214117,174558,388675,55.09,44.91,-5.63999999999999
2008,"AZ-06",155731,238267,393998,39.53,60.47,23.16,250029,331800,581829,42.97,57.03,18.6
2008,"AZ-07",149888,85261,235149,63.74,36.26,-25.26,201547,122728,324275,62.15,37.85,-19.76
2008,"AZ-08",170280,172201,342481,49.72,50.28,2.78,234359,209494,443853,52.8,47.2,-1.06
2010,"AZ-01",128068,169131,297199,43.09,56.91,16.04,176302,223097,399399,44.14,55.86,16.26
2010,"AZ-02",151662,254864,406526,37.31,62.69,27.6,231651,347283,578934,40.01,59.99,24.52
2010,"AZ-03",136543,157381,293924,46.46,53.54,9.3,196121,198254,394375,49.73,50.27,5.08000000000001
2010,"AZ-04",119053,36267,155320,76.65,23.35,-51.08,167984,54438,222422,75.52,24.48,-46.5
2010,"AZ-05",149907,138992,288899,51.89,48.11,-1.56,214117,174558,388675,55.09,44.91,-5.63999999999999
2010,"AZ-06",155731,238267,393998,39.53,60.47,23.16,250029,331800,581829,42.97,57.03,18.6
2010,"AZ-07",149888,85261,235149,63.74,36.26,-25.26,201547,122728,324275,62.15,37.85,-19.76
2010,"AZ-08",170280,172201,342481,49.72,50.28,2.78,234359,209494,443853,52.8,47.2,-1.06
2012,"AZ-01",132990,136042,269032,49.43,50.57,3.36000000000001,187343,180818,368161,50.89,49.11,2.76000000000001
2012,"AZ-02",156705,141229,297934,52.6,47.4,-2.98,213439,171834,385273,55.4,44.6,-6.26
2012,"AZ-03",130377,67903,198280,65.75,34.25,-29.28,174766,99473,274239,63.73,36.27,-22.92
2012,"AZ-04",82201,202054,284255,28.92,71.08,44.38,126057,280165,406222,31.03,68.97,42.48
2012,"AZ-05",121242,191375,312617,38.78,61.22,24.66,195198,262709,457907,42.63,57.37,19.28
2012,"AZ-06",143539,177276,320815,44.74,55.26,12.74,204325,222108,426433,47.91,52.09,8.72000000000001
2012,"AZ-07",118070,37355,155425,75.97,24.03,-49.72,165313,55605,220918,74.83,25.17,-45.12
2012,"AZ-08",121096,190257,311353,38.89,61.11,24.44,181828,251551,433379,41.96,58.04,20.62
2012,"AZ-09",154942,108899,263841,58.73,41.27,-15.24,223868,137411,361279,61.97,38.03,-19.4
2014,"AZ-01",132990,136042,269032,49.43,50.57,3.36000000000001,187343,180818,368161,50.89,49.11,2.76000000000001
2014,"AZ-02",156705,141229,297934,52.6,47.4,-2.98,213439,171834,385273,55.4,44.6,-6.26
2014,"AZ-03",130377,67903,198280,65.75,34.25,-29.28,174766,99473,274239,63.73,36.27,-22.92
2014,"AZ-04",82201,202054,284255,28.92,71.08,44.38,126057,280165,406222,31.03,68.97,42.48
2014,"AZ-05",121242,191375,312617,38.78,61.22,24.66,195198,262709,457907,42.63,57.37,19.28
2014,"AZ-06",143539,177276,320815,44.74,55.26,12.74,204325,222108,426433,47.91,52.09,8.72000000000001
2014,"AZ-07",118070,37355,155425,75.97,24.03,-49.72,165313,55605,220918,74.83,25.17,-45.12
2014,"AZ-08",121096,190257,311353,38.89,61.11,24.44,181828,251551,433379,41.96,58.04,20.62
2014,"AZ-09",154942,108899,263841,58.73,41.27,-15.24,223868,137411,361279,61.97,38.03,-19.4
2016,"AZ-01",132983,136039,269022,49.43,50.57,3.36000000000001,187336,180814,368150,50.89,49.11,2.76000000000001
2016,"AZ-02",156717,141231,297948,52.6,47.4,-2.98,213455,171838,385293,55.4,44.6,-6.26
2016,"AZ-03",130365,67901,198266,65.75,34.25,-29.28,174750,99469,274219,63.73,36.27,-22.92
2016,"AZ-04",82208,202057,284265,28.92,71.08,44.38,126064,280169,406233,31.03,68.97,42.48
2016,"AZ-05",121234,191359,312593,38.78,61.22,24.66,195166,262660,457826,42.63,57.37,19.28
2016,"AZ-06",143624,177372,320996,44.74,55.26,12.74,204483,222257,426740,47.92,52.08,8.70000000000001
2016,"AZ-07",118070,37355,155425,75.97,24.03,-49.72,165313,55605,220918,74.83,25.17,-45.12
2016,"AZ-08",121096,190257,311353,38.89,61.11,24.44,181828,251551,433379,41.96,58.04,20.62
2016,"AZ-09",154865,108819,263684,58.73,41.27,-15.24,223742,137311,361053,61.97,38.03,-19.4
2018,"AZ-01",132976,136031,269007,49.43,50.57,3.36000000000001,187327,180805,368132,50.89,49.11,2.76000000000001
2018,"AZ-02",156724,141239,297963,52.6,47.4,-2.98,213464,171847,385311,55.4,44.6,-6.26
2018,"AZ-03",130418,67935,198353,65.75,34.25,-29.28,174822,99515,274337,63.73,36.27,-22.92
2018,"AZ-04",82208,202057,284265,28.92,71.08,44.38,126064,280169,406233,31.03,68.97,42.48
2018,"AZ-05",121234,191359,312593,38.78,61.22,24.66,195166,262660,457826,42.63,57.37,19.28
2018,"AZ-06",143632,177386,321018,44.74,55.26,12.74,204494,222275,426769,47.92,52.08,8.70000000000001
2018,"AZ-07",117954,37239,155193,76,24,-49.78,165141,55458,220599,74.86,25.14,-45.18
2018,"AZ-08",121043,190223,311266,38.89,61.11,24.44,181756,251505,433261,41.95,58.05,20.64
2018,"AZ-09",154973,108922,263895,58.73,41.27,-15.24,223927,137462,361389,61.96,38.04,-19.38
2020,"AZ-01",132876,135908,268784,49.44,50.56,3.34,187175,180662,367837,50.89,49.11,2.76000000000001
2020,"AZ-02",156667,141183,297850,52.6,47.4,-2.98,213385,171779,385164,55.4,44.6,-6.26
2020,"AZ-03",130553,68106,198659,65.72,34.28,-29.22,175025,99704,274729,63.71,36.29,-22.88
2020,"AZ-04",82197,202036,284233,28.92,71.08,44.38,126028,280113,406141,31.03,68.97,42.48
2020,"AZ-05",121229,191359,312588,38.78,61.22,24.66,195180,262691,457871,42.63,57.37,19.28
2020,"AZ-06",143643,177403,321046,44.74,55.26,12.74,204508,222295,426803,47.92,52.08,8.70000000000001
2020,"AZ-07",117931,37227,155158,76.01,23.99,-49.8,165117,55448,220565,74.86,25.14,-45.18
2020,"AZ-08",121064,190239,311303,38.89,61.11,24.44,181784,251526,433310,41.95,58.05,20.64
2020,"AZ-09",154965,108914,263879,58.73,41.27,-15.24,223915,137453,361368,61.96,38.04,-19.38
2022,"AZ-01",165544,180948,346492,47.78,52.22,6.66,231757,224712,456469,50.77,49.23,3.00000000000001
2022,"AZ-02",131881,165598,297479,44.33,55.67,13.56,186108,220185,406293,45.81,54.19,12.92
2022,"AZ-03",121013,36313,157326,76.92,23.08,-51.62,171123,54887,226010,75.71,24.29,-46.88
2022,"AZ-04",134713,127008,261721,51.47,48.53,-0.720000000000006,199537,161061,360598,55.34,44.66,-6.14
2022,"AZ-05",103778,165497,269275,38.54,61.46,25.14,170717,237511,408228,41.82,58.18,20.9
2022,"AZ-06",153494,170991,324485,47.3,52.7,7.62,212561,211232,423793,50.16,49.84,4.22000000000001
2022,"AZ-07",150822,72827,223649,67.44,32.56,-32.66,195963,100138,296101,66.18,33.82,-27.82
2022,"AZ-08",117046,175524,292570,40.01,59.99,22.2,171809,225347,397156,43.26,56.74,18.02
2022,"AZ-09",82834,157672,240506,34.44,65.56,33.34,132569,226627,359196,36.91,63.09,30.72
2008,"AR-01",72493,163316,235809,30.74,69.26,40.74,70261,181164,251425,27.95,72.05,48.64
2008,"AR-02",129361,165381,294742,43.89,56.11,14.44,148834,182271,331105,44.95,55.05,14.64
2008,"AR-03",96944,207694,304638,31.82,68.18,38.58,125756,237668,363424,34.6,65.4,35.34
2008,"AR-04",81614,148381,229995,35.49,64.51,31.24,79002,159441,238443,33.13,66.87,38.28
2010,"AR-01",72493,163316,235809,30.74,69.26,40.74,70261,181164,251425,27.95,72.05,48.64
2010,"AR-02",129361,165381,294742,43.89,56.11,14.44,148834,182271,331105,44.95,55.05,14.64
2010,"AR-03",96944,207694,304638,31.82,68.18,38.58,125756,237668,363424,34.6,65.4,35.34
2010,"AR-04",81614,148381,229995,35.49,64.51,31.24,79002,159441,238443,33.13,66.87,38.28
2012,"AR-01",78612,169354,247966,31.7,68.3,38.82,75810,187480,263290,28.79,71.21,46.96
2012,"AR-02",127884,160784,288668,44.3,55.7,13.62,147553,177056,324609,45.46,54.54,13.62
2012,"AR-03",89073,180912,269985,32.99,67.01,36.24,118132,207769,325901,36.25,63.75,32.04
2012,"AR-04",84841,173722,258563,32.81,67.19,36.6,82358,188240,270598,30.44,69.56,43.66
2014,"AR-01",78612,169354,247966,31.7,68.3,38.82,75810,187480,263290,28.79,71.21,46.96
2014,"AR-02",127884,160784,288668,44.3,55.7,13.62,147553,177056,324609,45.46,54.54,13.62
2014,"AR-03",89075,180915,269990,32.99,67.01,36.24,118136,207772,325908,36.25,63.75,32.04
2014,"AR-04",84841,173722,258563,32.81,67.19,36.6,82358,188240,270598,30.44,69.56,43.66
2016,"AR-01",78612,169354,247966,31.7,68.3,38.82,75810,187480,263290,28.79,71.21,46.96
2016,"AR-02",127884,160784,288668,44.3,55.7,13.62,147553,177056,324609,45.46,54.54,13.62
2016,"AR-03",89078,180921,269999,32.99,67.01,36.24,118139,207779,325918,36.25,63.75,32.04
2016,"AR-04",84838,173716,258554,32.81,67.19,36.6,82355,188233,270588,30.44,69.56,43.66
2018,"AR-01",78612,169354,247966,31.7,68.3,38.82,75810,187480,263290,28.79,71.21,46.96
2018,"AR-02",127884,160784,288668,44.3,55.7,13.62,147553,177056,324609,45.46,54.54,13.62
2018,"AR-03",89078,180924,270002,32.99,67.01,36.24,118139,207782,325921,36.25,63.75,32.04
2018,"AR-04",84838,173713,258551,32.81,67.19,36.6,82355,188230,270585,30.44,69.56,43.66
2020,"AR-01",78649,169424,248073,31.7,68.3,38.82,75837,187544,263381,28.79,71.21,46.96
2020,"AR-02",127883,160782,288665,44.3,55.7,13.62,147552,177053,324605,45.46,54.54,13.62
2020,"AR-03",89080,180932,270012,32.99,67.01,36.24,118141,207794,325935,36.25,63.75,32.04
2020,"AR-04",84836,173705,258541,32.81,67.19,36.6,82353,188219,270572,30.44,69.56,43.66
2022,"AR-01",82717,178618,261335,31.65,68.35,38.92,80476,197806,278282,28.92,71.08,46.7
2022,"AR-02",120850,166864,287714,42,58,18.22,140255,183965,324220,43.26,56.74,18.02
2022,"AR-03",82469,156664,239133,34.49,65.51,33.24,110473,180782,291255,37.93,62.07,28.68
2022,"AR-04",94412,182697,277109,34.07,65.93,34.08,92679,198057,290736,31.88,68.12,40.78
2008,"CA-01",184567,88230,272797,67.66,32.34,-33.1,235912,109047,344959,68.39,31.61,-32.24
2008,"CA-02",105536,161625,267161,39.5,60.5,23.22,136044,191216,327260,41.57,58.43,21.4
2008,"CA-03",168123,154986,323109,52.03,47.97,-1.84,231729,204205,435934,53.16,46.84,-1.77999999999999
2008,"CA-04",153969,202255,356224,43.22,56.78,15.78,218773,253310,472083,46.34,53.66,11.86
2008,"CA-05",170049,54556,224605,75.71,24.29,-49.2,224206,79384,303590,73.85,26.15,-43.16
2008,"CA-06",244740,63839,308579,79.31,20.69,-56.4,298150,75420,373570,79.81,20.19,-55.08
2008,"CA-07",180910,58581,239491,75.54,24.46,-48.86,230110,80837,310947,74,26,-43.46
2008,"CA-08",286036,27637,313673,91.19,8.81,-80.16,311558,42895,354453,87.9,12.1,-71.26
2008,"CA-09",266838,21802,288640,92.45,7.55,-82.68,306070,31598,337668,90.64,9.36,-76.74
2008,"CA-10",216692,90281,306973,70.59,29.41,-38.96,284752,116955,401707,70.89,29.11,-37.24
2008,"CA-11",177743,130762,308505,57.61,42.39,-13,244592,170422,415014,58.94,41.06,-13.34
2008,"CA-12",228346,53508,281854,81.02,18.98,-59.82,274316,71335,345651,79.36,20.64,-54.18
2008,"CA-13",190097,44380,234477,81.07,18.93,-59.92,232382,67594,299976,77.47,22.53,-50.4
2008,"CA-14",224688,52725,277413,80.99,19.01,-59.76,270461,65020,335481,80.62,19.38,-56.7
2008,"CA-15",188170,59675,247845,75.92,24.08,-49.62,230447,85137,315584,73.02,26.98,-41.5
2008,"CA-16",181741,48589,230330,78.9,21.1,-55.58,217550,83278,300828,72.32,27.68,-40.1
2008,"CA-17",169492,56014,225506,75.16,24.84,-48.1,211290,73121,284411,74.29,25.71,-44.04
2008,"CA-18",112531,67401,179932,62.54,37.46,-22.86,142352,94332,236684,60.14,39.86,-15.74
2008,"CA-19",119601,136758,256359,46.65,53.35,8.91999999999999,160351,172736,333087,48.14,51.86,8.26
2008,"CA-20",84174,45136,129310,65.09,34.91,-27.96,105741,66768,172509,61.3,38.7,-18.06
2008,"CA-21",99229,123439,222668,44.56,55.44,13.1,142292,165432,307724,46.24,53.76,12.06
2008,"CA-22",112003,166840,278843,40.17,59.83,21.88,156581,205079,361660,43.3,56.7,17.94
2008,"CA-23",179272,72430,251702,71.22,28.78,-40.22,218932,89449,308381,70.99,29.01,-37.44
2008,"CA-24",160825,138131,298956,53.8,46.2,-5.38,212060,164667,376727,56.29,43.71,-8.03999999999998
2008,"CA-25",147323,126641,273964,53.77,46.23,-5.32,201171,162781,363952,55.27,44.73,-5.99999999999999
2008,"CA-26",153531,117139,270670,56.72,43.28,-11.22,206627,151935,358562,57.63,42.37,-10.72
2008,"CA-27",174019,64300,238319,73.02,26.98,-43.82,215987,96457,312444,69.13,30.87,-33.72
2008,"CA-28",166799,35112,201911,82.61,17.39,-63,202659,60581,263240,76.99,23.01,-49.44
2008,"CA-29",165357,59220,224577,73.63,26.37,-45.04,209833,89912,299745,70,30,-35.46
2008,"CA-30",241603,73963,315566,76.56,23.44,-50.9,279547,103231,382778,73.03,26.97,-41.52
2008,"CA-31",140728,17180,157908,89.12,10.88,-76.02,170955,32797,203752,83.9,16.1,-63.26
2008,"CA-32",130348,39426,169774,76.78,23.22,-51.34,163135,67883,231018,70.62,29.38,-36.7
2008,"CA-33",209639,21566,231205,90.67,9.33,-79.12,245955,37883,283838,86.65,13.35,-68.76
2008,"CA-34",132107,24238,156345,84.5,15.5,-66.78,158488,45954,204442,77.52,22.48,-50.5
2008,"CA-35",171326,21100,192426,89.03,10.97,-75.84,203750,38454,242204,84.12,15.88,-63.7
2008,"CA-36",183146,71261,254407,71.99,28.01,-41.76,230749,93144,323893,71.24,28.76,-37.94
2008,"CA-37",162954,29876,192830,84.51,15.49,-66.8,193245,49002,242247,79.77,20.23,-55
2008,"CA-38",143892,37360,181252,79.39,20.61,-56.56,173017,64291,237308,72.91,27.09,-41.28
2008,"CA-39",142576,48931,191507,74.45,25.55,-46.68,172676,74958,247634,69.73,30.27,-34.92
2008,"CA-40",126917,104141,231058,54.93,45.07,-7.64,167363,137790,305153,54.85,45.15,-5.16
2008,"CA-41",120773,150785,271558,44.47,55.53,13.28,168156,190549,358705,46.88,53.12,10.78
2008,"CA-42",135899,136918,272817,49.81,50.19,2.59999999999999,188204,174832,363036,51.84,48.16,0.860000000000007
2008,"CA-43",130271,46525,176796,73.68,26.32,-45.14,167999,78803,246802,68.07,31.93,-31.6
2008,"CA-44",148798,134995,283793,52.43,47.57,-2.64,208725,184202,392927,53.12,46.88,-1.69999999999999
2008,"CA-45",162895,135056,297951,54.67,45.33,-7.12,229226,175916,405142,56.58,43.42,-8.62
2008,"CA-46",151523,129373,280896,53.94,46.06,-5.66,201992,171325,373317,54.11,45.89,-3.67999999999999
2008,"CA-47",103987,36346,140333,74.1,25.9,-45.98,126075,68805,194880,64.69,35.31,-24.84
2008,"CA-48",174482,144169,318651,54.76,45.24,-7.3,243042,182538,425580,57.11,42.89,-9.68
2008,"CA-49",133493,144596,278089,48,52,6.22,192851,186844,379695,50.79,49.21,2.96000000000001
2008,"CA-50",193597,138569,332166,58.28,41.72,-14.34,266028,167030,433058,61.43,38.57,-18.32
2008,"CA-51",177496,65570,243066,73.02,26.98,-43.82,209763,104739,314502,66.7,33.3,-28.86
2008,"CA-52",138367,146895,285262,48.51,51.49,5.2,193505,177755,371260,52.12,47.88,0.300000000000011
2008,"CA-53",182839,62466,245305,74.54,25.46,-46.86,222906,76673,299579,74.41,25.59,-44.28
2010,"CA-01",184567,88230,272797,67.66,32.34,-33.1,235912,109047,344959,68.39,31.61,-32.24
2010,"CA-02",105536,161625,267161,39.5,60.5,23.22,136044,191216,327260,41.57,58.43,21.4
2010,"CA-03",168123,154986,323109,52.03,47.97,-1.84,231729,204205,435934,53.16,46.84,-1.77999999999999
2010,"CA-04",153969,202255,356224,43.22,56.78,15.78,218773,253310,472083,46.34,53.66,11.86
2010,"CA-05",170049,54556,224605,75.71,24.29,-49.2,224206,79384,303590,73.85,26.15,-43.16
2010,"CA-06",244740,63839,308579,79.31,20.69,-56.4,298150,75420,373570,79.81,20.19,-55.08
2010,"CA-07",180910,58581,239491,75.54,24.46,-48.86,230110,80837,310947,74,26,-43.46
2010,"CA-08",286036,27637,313673,91.19,8.81,-80.16,311558,42895,354453,87.9,12.1,-71.26
2010,"CA-09",266838,21802,288640,92.45,7.55,-82.68,306070,31598,337668,90.64,9.36,-76.74
2010,"CA-10",216692,90281,306973,70.59,29.41,-38.96,284752,116955,401707,70.89,29.11,-37.24
2010,"CA-11",177743,130762,308505,57.61,42.39,-13,244592,170422,415014,58.94,41.06,-13.34
2010,"CA-12",228346,53508,281854,81.02,18.98,-59.82,274316,71335,345651,79.36,20.64,-54.18
2010,"CA-13",190097,44380,234477,81.07,18.93,-59.92,232382,67594,299976,77.47,22.53,-50.4
2010,"CA-14",224688,52725,277413,80.99,19.01,-59.76,270461,65020,335481,80.62,19.38,-56.7
2010,"CA-15",188170,59675,247845,75.92,24.08,-49.62,230447,85137,315584,73.02,26.98,-41.5
2010,"CA-16",181741,48589,230330,78.9,21.1,-55.58,217550,83278,300828,72.32,27.68,-40.1
2010,"CA-17",169492,56014,225506,75.16,24.84,-48.1,211290,73121,284411,74.29,25.71,-44.04
2010,"CA-18",112531,67401,179932,62.54,37.46,-22.86,142352,94332,236684,60.14,39.86,-15.74
2010,"CA-19",119601,136758,256359,46.65,53.35,8.91999999999999,160351,172736,333087,48.14,51.86,8.26
2010,"CA-20",84174,45136,129310,65.09,34.91,-27.96,105741,66768,172509,61.3,38.7,-18.06
2010,"CA-21",99229,123439,222668,44.56,55.44,13.1,142292,165432,307724,46.24,53.76,12.06
2010,"CA-22",112003,166840,278843,40.17,59.83,21.88,156581,205079,361660,43.3,56.7,17.94
2010,"CA-23",179272,72430,251702,71.22,28.78,-40.22,218932,89449,308381,70.99,29.01,-37.44
2010,"CA-24",160825,138131,298956,53.8,46.2,-5.38,212060,164667,376727,56.29,43.71,-8.03999999999998
2010,"CA-25",147323,126641,273964,53.77,46.23,-5.32,201171,162781,363952,55.27,44.73,-5.99999999999999
2010,"CA-26",153531,117139,270670,56.72,43.28,-11.22,206627,151935,358562,57.63,42.37,-10.72
2010,"CA-27",174019,64300,238319,73.02,26.98,-43.82,215987,96457,312444,69.13,30.87,-33.72
2010,"CA-28",166799,35112,201911,82.61,17.39,-63,202659,60581,263240,76.99,23.01,-49.44
2010,"CA-29",165357,59220,224577,73.63,26.37,-45.04,209833,89912,299745,70,30,-35.46
2010,"CA-30",241603,73963,315566,76.56,23.44,-50.9,279547,103231,382778,73.03,26.97,-41.52
2010,"CA-31",140728,17180,157908,89.12,10.88,-76.02,170955,32797,203752,83.9,16.1,-63.26
2010,"CA-32",130348,39426,169774,76.78,23.22,-51.34,163135,67883,231018,70.62,29.38,-36.7
2010,"CA-33",209639,21566,231205,90.67,9.33,-79.12,245955,37883,283838,86.65,13.35,-68.76
2010,"CA-34",132107,24238,156345,84.5,15.5,-66.78,158488,45954,204442,77.52,22.48,-50.5
2010,"CA-35",171326,21100,192426,89.03,10.97,-75.84,203750,38454,242204,84.12,15.88,-63.7
2010,"CA-36",183146,71261,254407,71.99,28.01,-41.76,230749,93144,323893,71.24,28.76,-37.94
2010,"CA-37",162954,29876,192830,84.51,15.49,-66.8,193245,49002,242247,79.77,20.23,-55
2010,"CA-38",143892,37360,181252,79.39,20.61,-56.56,173017,64291,237308,72.91,27.09,-41.28
2010,"CA-39",142576,48931,191507,74.45,25.55,-46.68,172676,74958,247634,69.73,30.27,-34.92
2010,"CA-40",126917,104141,231058,54.93,45.07,-7.64,167363,137790,305153,54.85,45.15,-5.16
2010,"CA-41",120773,150785,271558,44.47,55.53,13.28,168156,190549,358705,46.88,53.12,10.78
2010,"CA-42",135899,136918,272817,49.81,50.19,2.59999999999999,188204,174832,363036,51.84,48.16,0.860000000000007
2010,"CA-43",130271,46525,176796,73.68,26.32,-45.14,167999,78803,246802,68.07,31.93,-31.6
2010,"CA-44",148798,134995,283793,52.43,47.57,-2.64,208725,184202,392927,53.12,46.88,-1.69999999999999
